commit_hash,date,device,test_name,status,metric,unit,min_time,max_time,avg_time,median_time,run_count,attempted,all_runs
5f66de,2026-06-16T12:00:00,SM-A366B,test_android_messages_first_open,passed,response_time,s,1.98,1.98,1.98,1.98,1,1,1.98
5f66de,2026-06-16T12:00:00,SM-A366B,test_android_settings_first_open,passed,response_time,s,1.422,1.422,1.422,1.422,1,1,1.422
5f66de,2026-06-16T12:00:00,SM-A366B,test_android_market_first_open,passed,response_time,s,1.491,1.491,1.491,1.491,1,1,1.491
5f66de,2026-06-16T12:00:00,SM-A366B,test_android_communities_first_open,passed,response_time,s,1.537,1.537,1.537,1.537,1,1,1.537
5f66de,2026-06-16T12:00:00,SM-A366B,test_android_settings_cold_open,passed,response_time,s,0.962,1.006,0.989,0.997,5,5,"0.962,1.003,1.006,0.978,0.997"
5f66de,2026-06-16T12:00:00,SM-A366B,test_android_settings_appearance_cold_open,passed,response_time,s,0.498,0.536,0.517,0.524,5,5,"0.499,0.529,0.524,0.536,0.498"
5f66de,2026-06-16T12:00:00,SM-A366B,test_android_wallet_receive_response_time,passed,response_time,s,0.061,0.089,0.079,0.081,6,6,"0.089,0.085,0.085,0.076,0.061,0.076"
5f66de,2026-06-16T12:00:00,SM-A366B,test_android_wallet_send_response_time,passed,response_time,s,0.566,0.643,0.606,0.605,6,6,"0.605,0.643,0.604,0.566,0.588,0.628"
5f66de,2026-06-16T12:00:00,SM-A366B,test_android_wallet_swap_response_time,passed,response_time,s,0.567,0.616,0.601,0.606,6,6,"0.567,0.595,0.615,0.608,0.616,0.604"
5f66de,2026-06-16T12:00:00,SM-A366B,test_android_wallet_buy_response_time,passed,response_time,s,0.084,0.092,0.087,0.086,6,6,"0.092,0.084,0.086,0.086,0.086,0.087"
5f66de,2026-06-16T12:00:00,SM-A366B,test_android_wallet_account_open_response_time,passed,response_time,s,0.082,0.082,0.082,0.082,1,1,0.082
5f66de,2026-06-16T12:00:00,SM-A366B,test_android_wallet_add_account_response_time,passed,response_time,s,0.515,0.534,0.524,0.526,6,6,"0.529,0.529,0.534,0.515,0.516,0.523"
5f66de,2026-06-16T12:00:00,SM-A366B,test_android_communities_directory_load,passed,response_time,s,80.5,80.5,80.5,80.5,1,1,80.5
5f66de,2026-06-16T12:00:00,SM-A366B,test_android_featured_community_open,passed,response_time,s,1.549,1.549,1.549,1.549,1,1,1.549
5f66de,2026-06-16T12:00:00,SM-A366B,test_android_settings_response_time,passed,response_time,s,0.513,0.566,0.531,0.524,6,6,"0.526,0.522,0.513,0.566,0.537,0.522"
ff50da,2026-06-19T12:00:00,SM-A366B,test_android_messages_response_time,passed,response_time,s,0.073,0.098,0.089,0.093,4,4,"0.073,0.098,0.095,0.091"
ff50da,2026-06-19T12:00:00,SM-A366B,test_android_wallet_response_time,passed,response_time,s,1.127,1.18,1.153,1.153,4,4,"1.127,1.166,1.141,1.18"
ff50da,2026-06-19T12:00:00,SM-A366B,test_android_communities_response_time,passed,response_time,s,1.162,1.928,1.646,1.748,4,4,"1.162,1.928,1.63,1.865"
ff50da,2026-06-19T12:00:00,SM-A366B,test_android_market_response_time,passed,response_time,s,0.612,0.948,0.712,0.643,4,4,"0.612,0.647,0.948,0.64"
ff50da,2026-06-19T12:00:00,SM-A366B,test_android_settings_response_time,passed,response_time,s,0.627,0.68,0.65,0.645,4,4,"0.627,0.646,0.68,0.645"
