run_id,commit_hash,date,build_label,total_tests,passed,failed,broken,skipped,unknown,pass_rate,total_duration_ms,avg_duration_ms,min_duration_ms,max_duration_ms,total_retries,flaky_tests
pr-21980-d99550-4,d99550,2026-08-14T16:23:41,PR 21980,32,32,0,0,0,0,100.0,362622,11331.94,436,79445,0,0
pr-21980-d99550-5,d99550,2026-08-14T17:44:15,PR 21980,32,32,0,0,0,0,100.0,368256,11508.0,350,84977,0,0
pr-21980-d99550-6,d99550,2026-08-14T18:11:05,PR 21980,32,32,0,0,0,0,100.0,377610,11800.31,559,94435,0,0
pr-21980-cb2ed9-7,cb2ed9,2026-08-14T20:19:08,PR 21980,32,32,0,0,0,0,100.0,490399,15324.97,458,128444,0,0
