run_id,commit_hash,date,build_label,total_tests,passed,failed,broken,skipped,unknown,pass_rate,total_duration_ms,avg_duration_ms,min_duration_ms,max_duration_ms,total_retries,flaky_tests
pr-22463-ee8c63-31,ee8c63,2026-09-17T14:17:11,PR 22463,35,35,0,0,0,0,100.0,590820,16880.57,661,154314,0,0
pr-22463-ee8c63-33,ee8c63,2026-09-17T14:56:20,PR 22463,35,35,0,0,0,0,100.0,588711,16820.31,497,146602,0,0
