run_id,channel,commit_hash,date,build_label,source_ref,build_source,pr_number,release_series,release_version
pr-22463-ee8c63-31,pr,ee8c63,2026-09-17T14:17:11,PR 22463,tests/measure-sending-message,https://status-app-builds.hel1.your-objectstorage.com/StatusIm-Desktop-260916-155728-ee8c63-x86_64.7z,22463,,
pr-22463-ee8c63-33,pr,ee8c63,2026-09-17T14:56:20,PR 22463,tests/measure-sending-message,https://status-app-builds.hel1.your-objectstorage.com/StatusIm-Desktop-260916-155728-ee8c63-x86_64.7z,22463,,
pr-22463-3eb34f-34,pr,3eb34f,2026-09-21T09:05:40,PR 22463,tests/measure-sending-message,https://status-app-desktop-prs.hel1.your-objectstorage.com/StatusIm-Desktop-260921-072834-3eb34f-pr22463-x86_64.7z,22463,,
