run_id,commit_hash,date,build_label,test_name,status,min_time,max_time,avg_time,run_count,all_runs
pr-21890-6d95be-13,6d95be,2026-08-17T10:47:31,PR 21890,test_wallet_swap_first_open_loading_time[fresh_user],passed,0.976766798645258,0.976766798645258,0.976766798645258,1,0.976766798645258
pr-21890-6d95be-13,6d95be,2026-08-17T10:47:31,PR 21890,test_wallet_swap_loading_time[fresh_user],passed,0.2962417006492615,0.3561269994825125,0.31659674011170863,5,"0.3066495005041361,0.32020460069179535,0.2962417006492615,0.3561269994825125,0.3037608992308378"
pr-21890-6d95be-13,6d95be,2026-08-17T10:47:31,PR 21890,test_status_community_second_open_loading_time[user_data0-user_account0],passed,2.170905828475952,2.234741687774658,2.195409870147705,5,"2.234741687774658,2.2117013931274414,2.172537088394165,2.1871633529663086,2.170905828475952"
pr-21890-6d95be-13,6d95be,2026-08-17T10:47:31,PR 21890,test_wallet_account_open_loading_time[wallet_load_alex_user],passed,0.8690636996179819,0.8690636996179819,0.8690636996179819,1,0.8690636996179819
pr-21890-6d95be-13,6d95be,2026-08-17T10:47:31,PR 21890,test_wallet_account_open_loading_time[wallet_load_user],passed,0.4039896000176668,0.4039896000176668,0.4039896000176668,1,0.4039896000176668
pr-21890-6d95be-13,6d95be,2026-08-17T10:47:31,PR 21890,test_wallet_send_first_open_loading_time[wallet_load_user],passed,1.157183699309826,1.157183699309826,1.157183699309826,1,1.157183699309826
pr-21890-6d95be-13,6d95be,2026-08-17T10:47:31,PR 21890,test_wallet_send_loading_time[wallet_load_user],passed,0.387160899117589,0.6135207992047071,0.5056043591350317,5,"0.6135207992047071,0.5402146987617016,0.49455459974706173,0.49257079884409904,0.387160899117589"
pr-21890-6d95be-13,6d95be,2026-08-17T10:47:31,PR 21890,test_wallet_swap_first_open_loading_time[wallet_load_alex_user],passed,1.0671852994710207,1.0671852994710207,1.0671852994710207,1,1.0671852994710207
pr-21890-6d95be-13,6d95be,2026-08-17T10:47:31,PR 21890,test_wallet_swap_loading_time[wallet_load_alex_user],passed,0.5537989009171724,0.6512700002640486,0.592178200557828,5,"0.5890720002353191,0.6512700002640486,0.5537989009171724,0.5623314008116722,0.6044187005609274"
pr-21890-6d95be-13,6d95be,2026-08-17T10:47:31,PR 21890,test_wallet_add_account_first_open_loading_time[wallet_load_alex_user],passed,0.568010101094842,0.568010101094842,0.568010101094842,1,0.568010101094842
pr-21890-6d95be-13,6d95be,2026-08-17T10:47:31,PR 21890,test_wallet_add_account_loading_time[wallet_load_alex_user],passed,0.4462152998894453,0.6310926992446184,0.5231939401477576,5,"0.5652088988572359,0.5018947012722492,0.4462152998894453,0.4715581014752388,0.6310926992446184"
pr-21890-6d95be-13,6d95be,2026-08-17T10:47:31,PR 21890,test_wallet_activity_tab_first_open_loading_time[wallet_load_alex_user],passed,0.689477501437068,0.689477501437068,0.689477501437068,1,0.689477501437068
